timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
1850.5,2025-12-02T06:50:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1942.0,2025-12-02T08:22:00+00:00,released,2,2,1,0,1,100.0,50.0
1942.0,2025-12-02T08:22:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1968.0,2025-12-02T08:48:00+00:00,released,2,2,1,0,1,100.0,50.0
1968.0,2025-12-02T08:48:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2042.0,2025-12-02T10:02:00+00:00,released,2,2,1,0,1,100.0,50.0
2042.0,2025-12-02T10:02:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2059.0,2025-12-02T10:19:00+00:00,released,2,2,1,0,1,100.0,50.0
2059.0,2025-12-02T10:19:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2115.0,2025-12-02T11:15:00+00:00,released,2,2,1,0,1,100.0,50.0
2115.0,2025-12-02T11:15:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2141.0,2025-12-02T11:41:00+00:00,released,2,2,1,0,1,100.0,50.0
2141.0,2025-12-02T11:41:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2158.0,2025-12-02T11:58:00+00:00,released,2,2,1,0,1,100.0,50.0
2158.0,2025-12-02T11:58:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2190.0,2025-12-02T12:30:00+00:00,released,2,2,1,0,1,100.0,50.0
2190.0,2025-12-02T12:30:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2216.0,2025-12-02T12:56:00+00:00,released,2,2,1,0,1,100.0,50.0
2216.0,2025-12-02T12:56:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2297.0,2025-12-02T14:17:00+00:00,released,2,2,1,0,1,100.0,50.0
2297.0,2025-12-02T14:17:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2410.5,2025-12-02T16:10:30+00:00,released,2,2,1,0,1,100.0,50.0
2410.5,2025-12-02T16:10:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2427.5,2025-12-02T16:27:30+00:00,released,2,2,1,0,1,100.0,50.0
2427.5,2025-12-02T16:27:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2436.0,2025-12-02T16:36:00+00:00,released,2,2,1,0,1,100.0,50.0
2436.0,2025-12-02T16:36:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2444.5,2025-12-02T16:44:30+00:00,released,2,2,1,0,1,100.0,50.0
2444.5,2025-12-02T16:44:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2462.0,2025-12-02T17:02:00+00:00,released,2,2,1,0,1,100.0,50.0
2462.0,2025-12-02T17:02:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2593.0,2025-12-02T19:13:00+00:00,released,2,2,1,0,1,100.0,50.0
2593.0,2025-12-02T19:13:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2636.0,2025-12-02T19:56:00+00:00,released,2,2,1,0,1,100.0,50.0
2636.0,2025-12-02T19:56:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2662.0,2025-12-02T20:22:00+00:00,released,2,2,1,0,1,100.0,50.0
2662.0,2025-12-02T20:22:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2724.0,2025-12-02T21:24:00+00:00,released,2,2,1,0,1,100.0,50.0
2724.0,2025-12-02T21:24:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2741.0,2025-12-02T21:41:00+00:00,released,2,2,1,0,1,100.0,50.0
2741.0,2025-12-02T21:41:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2758.0,2025-12-02T21:58:00+00:00,released,2,2,1,0,1,100.0,50.0
2758.0,2025-12-02T21:58:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2784.0,2025-12-02T22:24:00+00:00,released,2,2,1,0,1,100.0,50.0
2784.0,2025-12-02T22:24:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2809.0,2025-12-02T22:49:00+00:00,released,2,2,1,0,1,100.0,50.0
2809.0,2025-12-02T22:49:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2835.0,2025-12-02T23:15:00+00:00,released,2,2,1,0,1,100.0,50.0
2835.0,2025-12-02T23:15:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2915.0,2025-12-03T00:35:00+00:00,released,2,2,1,0,1,100.0,50.0
2915.0,2025-12-03T00:35:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3026.5,2025-12-03T02:26:30+00:00,released,2,2,1,0,1,100.0,50.0
3026.5,2025-12-03T02:26:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3043.5,2025-12-03T02:43:30+00:00,released,2,2,1,0,1,100.0,50.0
3043.5,2025-12-03T02:43:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3054.0,2025-12-03T02:54:00+00:00,released,2,2,1,0,1,100.0,50.0
3054.0,2025-12-03T02:54:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3060.5,2025-12-03T03:00:30+00:00,released,2,2,1,0,1,100.0,50.0
3060.5,2025-12-03T03:00:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3080.0,2025-12-03T03:20:00+00:00,released,2,2,1,0,1,100.0,50.0
3080.0,2025-12-03T03:20:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3211.0,2025-12-03T05:31:00+00:00,released,2,2,1,0,1,100.0,50.0
3211.0,2025-12-03T05:31:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3252.0,2025-12-03T06:12:00+00:00,released,2,2,1,0,1,100.0,50.0
3252.0,2025-12-03T06:12:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3278.0,2025-12-03T06:38:00+00:00,released,2,2,1,0,1,100.0,50.0
3278.0,2025-12-03T06:38:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3350.0,2025-12-03T07:50:00+00:00,released,2,2,1,0,1,100.0,50.0
3350.0,2025-12-03T07:50:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3367.0,2025-12-03T08:07:00+00:00,released,2,2,1,0,1,100.0,50.0
3367.0,2025-12-03T08:07:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3384.0,2025-12-03T08:24:00+00:00,released,2,2,1,0,1,100.0,50.0
3384.0,2025-12-03T08:24:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3410.0,2025-12-03T08:50:00+00:00,released,2,2,1,0,1,100.0,50.0
3410.0,2025-12-03T08:50:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3417.0,2025-12-03T08:57:00+00:00,released,2,2,1,0,1,100.0,50.0
3417.0,2025-12-03T08:57:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3443.0,2025-12-03T09:23:00+00:00,released,2,2,1,0,1,100.0,50.0
3443.0,2025-12-03T09:23:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3541.0,2025-12-03T11:01:00+00:00,released,2,2,1,0,1,100.0,50.0
3541.0,2025-12-03T11:01:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3634.5,2025-12-03T12:34:30+00:00,released,2,2,1,0,1,100.0,50.0
3634.5,2025-12-03T12:34:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3651.5,2025-12-03T12:51:30+00:00,released,2,2,1,0,1,100.0,50.0
3651.5,2025-12-03T12:51:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3668.5,2025-12-03T13:08:30+00:00,released,2,2,1,0,1,100.0,50.0
3668.5,2025-12-03T13:08:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3688.0,2025-12-03T13:28:00+00:00,released,2,2,1,0,1,100.0,50.0
3688.0,2025-12-03T13:28:00+00:00,allocated,2,2,2,0,0,100.0,100.0
3694.5,2025-12-03T13:34:30+00:00,released,2,2,1,0,1,100.0,50.0
3694.5,2025-12-03T13:34:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3720.5,2025-12-03T14:00:30+00:00,released,2,2,1,0,1,100.0,50.0
3720.5,2025-12-03T14:00:30+00:00,allocated,2,2,2,0,0,100.0,100.0
3819.0,2025-12-03T15:39:00+00:00,released,2,2,1,0,1,100.0,50.0
