timestamp,datetime,resource_id,resource_type,process_state,location,coupler_type,batch_id,rake_id,locomotive_id
420.0,2025-12-01T07:00:00+00:00,W11188,wagon,rake_coupling_started,collection1,SCREW,,,
420.0,2025-12-01T07:00:00+00:00,W10437,wagon,rake_coupling_started,collection1,SCREW,,,
559.0,2025-12-01T09:19:00+00:00,W12394,wagon,rake_coupling_started,collection1,SCREW,,,
559.0,2025-12-01T09:19:00+00:00,W9278,wagon,rake_coupling_started,collection1,SCREW,,,
571.5,2025-12-01T09:31:30+00:00,W11188,wagon,rake_coupling_started,WS_01,DAC,,,
571.5,2025-12-01T09:31:30+00:00,W10437,wagon,rake_coupling_started,WS_01,DAC,,,
573.5,2025-12-01T09:33:30+00:00,W11188,wagon,rake_coupling_completed,WS_01,DAC,,,
573.5,2025-12-01T09:33:30+00:00,W10437,wagon,rake_coupling_completed,WS_01,DAC,,,
724.0,2025-12-01T12:04:00+00:00,W3926,wagon,rake_coupling_started,collection1,SCREW,,,
724.0,2025-12-01T12:04:00+00:00,W5834,wagon,rake_coupling_started,collection1,SCREW,,,
724.0,2025-12-01T12:04:00+00:00,W9460,wagon,rake_coupling_started,collection1,SCREW,,,
724.0,2025-12-01T12:04:00+00:00,W9445,wagon,rake_coupling_started,collection1,SCREW,,,
777.0,2025-12-01T12:57:00+00:00,W12394,wagon,rake_coupling_started,WS_01,DAC,,,
777.0,2025-12-01T12:57:00+00:00,W9278,wagon,rake_coupling_started,WS_01,DAC,,,
779.0,2025-12-01T12:59:00+00:00,W12394,wagon,rake_coupling_completed,WS_01,DAC,,,
779.0,2025-12-01T12:59:00+00:00,W9278,wagon,rake_coupling_completed,WS_01,DAC,,,
909.0,2025-12-01T15:09:00+00:00,W10704,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W3675,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W7132,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W8934,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W6253,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W7747,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W10546,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W7222,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W0689,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W11268,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W11509,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W6557,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W10356,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W6006,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W4440,wagon,rake_coupling_started,collection1,SCREW,,,
909.0,2025-12-01T15:09:00+00:00,W10383,wagon,rake_coupling_started,collection1,SCREW,,,
1022.5,2025-12-01T17:02:30+00:00,W3926,wagon,rake_coupling_started,WS_01,DAC,,,
1022.5,2025-12-01T17:02:30+00:00,W5834,wagon,rake_coupling_started,WS_01,DAC,,,
1024.5,2025-12-01T17:04:30+00:00,W3926,wagon,rake_coupling_completed,WS_01,DAC,,,
1024.5,2025-12-01T17:04:30+00:00,W5834,wagon,rake_coupling_completed,WS_01,DAC,,,
1039.5,2025-12-01T17:19:30+00:00,W9460,wagon,rake_coupling_started,WS_02,DAC,,,
1039.5,2025-12-01T17:19:30+00:00,W9445,wagon,rake_coupling_started,WS_02,DAC,,,
1041.5,2025-12-01T17:21:30+00:00,W9460,wagon,rake_coupling_completed,WS_02,DAC,,,
1041.5,2025-12-01T17:21:30+00:00,W9445,wagon,rake_coupling_completed,WS_02,DAC,,,
1190.0,2025-12-01T19:50:00+00:00,W2238,wagon,rake_coupling_started,collection1,SCREW,,,
1190.0,2025-12-01T19:50:00+00:00,W0047,wagon,rake_coupling_started,collection1,SCREW,,,
1190.0,2025-12-01T19:50:00+00:00,W0049,wagon,rake_coupling_started,collection1,SCREW,,,
1190.0,2025-12-01T19:50:00+00:00,W2535,wagon,rake_coupling_started,collection1,SCREW,,,
1190.0,2025-12-01T19:50:00+00:00,W7970,wagon,rake_coupling_started,collection1,SCREW,,,
1190.0,2025-12-01T19:50:00+00:00,W4849,wagon,rake_coupling_started,collection1,SCREW,,,
1293.5,2025-12-01T21:33:30+00:00,W10704,wagon,rake_coupling_started,WS_01,DAC,,,
1293.5,2025-12-01T21:33:30+00:00,W3675,wagon,rake_coupling_started,WS_01,DAC,,,
1295.5,2025-12-01T21:35:30+00:00,W10704,wagon,rake_coupling_completed,WS_01,DAC,,,
1295.5,2025-12-01T21:35:30+00:00,W3675,wagon,rake_coupling_completed,WS_01,DAC,,,
1306.0,2025-12-01T21:46:00+00:00,W7132,wagon,rake_coupling_started,WS_02,DAC,,,
1306.0,2025-12-01T21:46:00+00:00,W8934,wagon,rake_coupling_started,WS_02,DAC,,,
1308.0,2025-12-01T21:48:00+00:00,W7132,wagon,rake_coupling_completed,WS_02,DAC,,,
1308.0,2025-12-01T21:48:00+00:00,W8934,wagon,rake_coupling_completed,WS_02,DAC,,,
1499.0,2025-12-02T00:59:00+00:00,W6253,wagon,rake_coupling_started,WS_01,DAC,,,
1499.0,2025-12-02T00:59:00+00:00,W7747,wagon,rake_coupling_started,WS_01,DAC,,,
1501.0,2025-12-02T01:01:00+00:00,W6253,wagon,rake_coupling_completed,WS_01,DAC,,,
1501.0,2025-12-02T01:01:00+00:00,W7747,wagon,rake_coupling_completed,WS_01,DAC,,,
1506.0,2025-12-02T01:06:00+00:00,W10546,wagon,rake_coupling_started,WS_02,DAC,,,
1506.0,2025-12-02T01:06:00+00:00,W7222,wagon,rake_coupling_started,WS_02,DAC,,,
1508.0,2025-12-02T01:08:00+00:00,W10546,wagon,rake_coupling_completed,WS_02,DAC,,,
1508.0,2025-12-02T01:08:00+00:00,W7222,wagon,rake_coupling_completed,WS_02,DAC,,,
1630.0,2025-12-02T03:10:00+00:00,W9776,wagon,rake_coupling_started,collection1,SCREW,,,
1630.0,2025-12-02T03:10:00+00:00,W12208,wagon,rake_coupling_started,collection1,SCREW,,,
1714.0,2025-12-02T04:34:00+00:00,W0689,wagon,rake_coupling_started,WS_01,DAC,,,
1714.0,2025-12-02T04:34:00+00:00,W11268,wagon,rake_coupling_started,WS_01,DAC,,,
1716.0,2025-12-02T04:36:00+00:00,W0689,wagon,rake_coupling_completed,WS_01,DAC,,,
1716.0,2025-12-02T04:36:00+00:00,W11268,wagon,rake_coupling_completed,WS_01,DAC,,,
1731.0,2025-12-02T04:51:00+00:00,W11509,wagon,rake_coupling_started,WS_02,DAC,,,
1731.0,2025-12-02T04:51:00+00:00,W6557,wagon,rake_coupling_started,WS_02,DAC,,,
1733.0,2025-12-02T04:53:00+00:00,W11509,wagon,rake_coupling_completed,WS_02,DAC,,,
1733.0,2025-12-02T04:53:00+00:00,W6557,wagon,rake_coupling_completed,WS_02,DAC,,,
1838.5,2025-12-02T06:38:30+00:00,W10356,wagon,rake_coupling_started,WS_01,DAC,,,
1838.5,2025-12-02T06:38:30+00:00,W6006,wagon,rake_coupling_started,WS_01,DAC,,,
1840.5,2025-12-02T06:40:30+00:00,W10356,wagon,rake_coupling_completed,WS_01,DAC,,,
1840.5,2025-12-02T06:40:30+00:00,W6006,wagon,rake_coupling_completed,WS_01,DAC,,,
1855.0,2025-12-02T06:55:00+00:00,W11348,wagon,rake_coupling_started,collection1,SCREW,,,
1855.0,2025-12-02T06:55:00+00:00,W12037,wagon,rake_coupling_started,collection1,SCREW,,,
1855.0,2025-12-02T06:55:00+00:00,W0440,wagon,rake_coupling_started,collection1,SCREW,,,
2028.0,2025-12-02T09:48:00+00:00,W9721,wagon,rake_coupling_started,collection2,SCREW,,,
2028.0,2025-12-02T09:48:00+00:00,W9756,wagon,rake_coupling_started,collection2,SCREW,,,
2028.0,2025-12-02T09:48:00+00:00,W11467,wagon,rake_coupling_started,collection2,SCREW,,,
2047.0,2025-12-02T10:07:00+00:00,W4440,wagon,rake_coupling_started,WS_02,DAC,,,
2047.0,2025-12-02T10:07:00+00:00,W10383,wagon,rake_coupling_started,WS_02,DAC,,,
2049.0,2025-12-02T10:09:00+00:00,W4440,wagon,rake_coupling_completed,WS_02,DAC,,,
2049.0,2025-12-02T10:09:00+00:00,W10383,wagon,rake_coupling_completed,WS_02,DAC,,,
2146.0,2025-12-02T11:46:00+00:00,W2238,wagon,rake_coupling_started,WS_01,DAC,,,
2146.0,2025-12-02T11:46:00+00:00,W0047,wagon,rake_coupling_started,WS_01,DAC,,,
2148.0,2025-12-02T11:48:00+00:00,W2238,wagon,rake_coupling_completed,WS_01,DAC,,,
