locomotive_id,moving_time_min,coupling_time_screw_min,coupling_time_automatic_min,decoupling_time_screw_min,decoupling_time_automatic_min,total_coupling_time_min,total_decoupling_time_min
LOCO_01,13697.5,640.0,208.0,954.0,100.0,848.0,1054.0
LOCO_02,13565.0,676.0,198.0,1014.0,98.0,874.0,1112.0
