timestamp,datetime,track_id,change_type,capacity,used_before,used_after,utilization_before_percent,utilization_after_percent,change_amount,triggered_by
785.5,2025-12-01T13:05:30+00:00,collection1,capacity_reserved,375.0,249.78,269.68,66.608,71.91466666666668,19.9,batch_1_wagons[W4440]
785.5,2025-12-01T13:05:30+00:00,collection1,capacity_reserved,375.0,269.68,289.58,71.91466666666668,77.22133333333333,19.9,batch_1_wagons[W10383]
793.0,2025-12-01T13:13:00+00:00,retrofit,capacity_released,319.5,63.879999999999995,29.939999999999998,19.99374021909233,9.370892018779342,-33.94,"batch_2_wagons[W3926,W5834]"
793.0,2025-12-01T13:13:00+00:00,retrofit,capacity_released,319.5,29.939999999999998,0.0,9.370892018779342,0.0,-29.939999999999998,"batch_2_wagons[W9460,W9445]"
819.0,2025-12-01T13:39:00+00:00,collection1,capacity_released,375.0,289.58,0.0,77.22133333333333,0.0,-289.58,"batch_16_wagons[W10704,W3675,W7132,W8934,W6253,W7747,W10546,W7222,W0689,W11268,W11509,W6557,W10356,W6006,W4440,W10383]"
819.0,2025-12-01T13:39:00+00:00,retrofit,capacity_reserved,319.5,0.0,289.58,0.0,90.63536776212831,289.58,"batch_16_wagons[W10704,W3675,W7132,W8934,W6253,W7747,W10546,W7222,W0689,W11268,W11509,W6557,W10356,W6006,W4440,W10383]"
834.0,2025-12-01T13:54:00+00:00,retrofitted,capacity_released,264.0,38.72,0.0,14.666666666666666,0.0,-38.72,"batch_2_wagons[W12394,W9278]"
866.0,2025-12-01T14:26:00+00:00,collection1,capacity_reserved,375.0,0.0,15.8,0.0,4.213333333333334,15.8,batch_1_wagons[W2238]
866.0,2025-12-01T14:26:00+00:00,collection1,capacity_reserved,375.0,15.8,25.44,4.213333333333334,6.784,9.64,batch_1_wagons[W0047]
866.0,2025-12-01T14:26:00+00:00,collection1,capacity_reserved,375.0,25.44,35.08,6.784,9.354666666666667,9.64,batch_1_wagons[W0049]
894.75,2025-12-01T14:54:45+00:00,collection1,capacity_reserved,375.0,35.08,54.12,9.354666666666667,14.432,19.04,batch_1_wagons[W2535]
894.75,2025-12-01T14:54:45+00:00,collection1,capacity_reserved,375.0,54.12,76.92,14.432,20.512,22.8,batch_1_wagons[W7970]
894.75,2025-12-01T14:54:45+00:00,collection1,capacity_reserved,375.0,76.92,88.96000000000001,20.512,23.72266666666667,12.04,batch_1_wagons[W4849]
957.5,2025-12-01T15:57:30+00:00,parking16,capacity_reserved,1875.0,53.93,92.65,2.8762666666666665,4.941333333333334,38.72,"batch_2_wagons[W12394,W9278]"
1029.5,2025-12-01T17:09:30+00:00,retrofitted,capacity_reserved,264.0,0.0,33.94,0.0,12.856060606060604,33.94,"batch_2_wagons[W3926,W5834]"
1034.5,2025-12-01T17:14:30+00:00,retrofit,capacity_released,319.5,289.58,255.64,90.63536776212831,80.01251956181534,-33.94,"batch_2_wagons[W10704,W3675]"
1046.5,2025-12-01T17:26:30+00:00,retrofitted,capacity_reserved,264.0,33.94,63.879999999999995,12.856060606060604,24.196969696969695,29.939999999999998,"batch_2_wagons[W9460,W9445]"
1051.25,2025-12-01T17:31:15+00:00,collection1,capacity_reserved,375.0,88.96000000000001,112.2,23.72266666666667,29.92,23.24,batch_1_wagons[W2967]
1051.25,2025-12-01T17:31:15+00:00,collection1,capacity_reserved,375.0,112.2,135.5,29.92,36.13333333333333,23.3,batch_1_wagons[W9776]
1051.25,2025-12-01T17:31:15+00:00,collection1,capacity_reserved,375.0,135.5,158.74,36.13333333333333,42.330666666666666,23.24,batch_1_wagons[W12208]
1051.25,2025-12-01T17:31:15+00:00,collection1,capacity_reserved,375.0,158.74,175.24,42.330666666666666,46.73066666666667,16.5,batch_1_wagons[W11348]
1051.5,2025-12-01T17:31:30+00:00,retrofit,capacity_released,319.5,255.64,221.54,80.01251956181534,69.339593114241,-34.1,"batch_2_wagons[W7132,W8934]"
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,175.24,198.48000000000002,46.73066666666667,52.92800000000001,23.24,batch_1_wagons[W12037]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,198.48000000000002,212.50000000000003,52.92800000000001,56.66666666666668,14.02,batch_1_wagons[W0440]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,212.50000000000003,235.74000000000004,56.66666666666668,62.86400000000001,23.24,batch_1_wagons[W11988]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,235.74000000000004,258.98,62.86400000000001,69.06133333333334,23.24,batch_1_wagons[W12260]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,258.98,274.48,69.06133333333334,73.19466666666668,15.5,batch_1_wagons[W0130]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,274.48,290.58000000000004,73.19466666666668,77.48800000000001,16.1,batch_1_wagons[W9352]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,290.58000000000004,313.82000000000005,77.48800000000001,83.68533333333335,23.24,batch_1_wagons[W2980]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,313.82000000000005,329.82000000000005,83.68533333333335,87.95200000000001,16.0,batch_1_wagons[W2406]
1088.75,2025-12-01T18:08:45+00:00,collection1,capacity_reserved,375.0,329.82000000000005,345.62000000000006,87.95200000000001,92.16533333333335,15.8,batch_1_wagons[W2399]
1100.0,2025-12-01T18:20:00+00:00,collection1,capacity_released,375.0,345.62000000000006,256.6600000000001,92.16533333333335,68.44266666666668,-88.96000000000001,"batch_6_wagons[W2238,W0047,W0049,W2535,W7970,W4849]"
1100.0,2025-12-01T18:20:00+00:00,retrofit,capacity_reserved,319.5,221.54,310.5,69.339593114241,97.1830985915493,88.96000000000001,"batch_6_wagons[W2238,W0047,W0049,W2535,W7970,W4849]"
1105.0,2025-12-01T18:25:00+00:00,retrofitted,capacity_released,264.0,63.879999999999995,29.939999999999998,24.196969696969695,11.34090909090909,-33.94,"batch_2_wagons[W3926,W5834]"
1228.5,2025-12-01T20:28:30+00:00,parking16,capacity_reserved,1875.0,92.65,126.59,4.941333333333334,6.7514666666666665,33.94,"batch_2_wagons[W3926,W5834]"
1300.5,2025-12-01T21:40:30+00:00,retrofitted,capacity_reserved,264.0,29.939999999999998,63.879999999999995,11.34090909090909,24.196969696969695,33.94,"batch_2_wagons[W10704,W3675]"
1301.0,2025-12-01T21:41:00+00:00,collection1,capacity_released,375.0,256.6600000000001,233.42000000000007,68.44266666666668,62.24533333333335,-23.24,batch_1_wagons[W2967]
1301.0,2025-12-01T21:41:00+00:00,retrofit,capacity_reserve_blocked,319.5,310.5,310.5,97.1830985915493,97.1830985915493,23.24,batch_1_wagons_WAITING[W2967]
1305.5,2025-12-01T21:45:30+00:00,retrofit,capacity_released,319.5,310.5,303.7,97.1830985915493,95.05477308294209,-30.04,"batch_2_wagons[W6253,W7747]"
1305.5,2025-12-01T21:45:30+00:00,retrofit,capacity_reserved,319.5,280.46,303.7,87.7809076682316,95.05477308294209,23.24,batch_1_wagons[W2967]
