workshop_id,completed_retrofits,total_retrofit_time,total_waiting_time,throughput_per_hour,utilization_percent
WS_01,160,9600.0,19177.0,0.6671994996003753,33.35997498001876
WS_02,159,9540.0,19237.0,0.663029502727873,33.15147513639365
