locomotive_id,moving_time_min,coupling_time_screw_min,coupling_time_automatic_min,decoupling_time_screw_min,decoupling_time_automatic_min,total_coupling_time_min,total_decoupling_time_min
LOCO_01,13626.5,1016.0,326.0,1524.0,161.0,1342.0,1685.0
LOCO_02,13435.0,928.0,296.0,1392.0,142.0,1224.0,1534.0
