timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
1702.5,2025-12-02T04:22:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1719.5,2025-12-02T04:39:30+00:00,released,2,2,1,0,1,100.0,50.0
1719.5,2025-12-02T04:39:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1719.5,2025-12-02T04:39:30+00:00,released,2,2,1,0,1,100.0,50.0
1719.5,2025-12-02T04:39:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1745.5,2025-12-02T05:05:30+00:00,released,2,2,1,0,1,100.0,50.0
1745.5,2025-12-02T05:05:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1762.5,2025-12-02T05:22:30+00:00,released,2,2,1,0,1,100.0,50.0
1762.5,2025-12-02T05:22:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1870.0,2025-12-02T07:10:00+00:00,released,2,2,1,0,1,100.0,50.0
1870.0,2025-12-02T07:10:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1887.0,2025-12-02T07:27:00+00:00,released,2,2,1,0,1,100.0,50.0
1887.0,2025-12-02T07:27:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1909.5,2025-12-02T07:49:30+00:00,released,2,2,1,0,1,100.0,50.0
1909.5,2025-12-02T07:49:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1913.0,2025-12-02T07:53:00+00:00,released,2,2,1,0,1,100.0,50.0
1913.0,2025-12-02T07:53:00+00:00,allocated,2,2,2,0,0,100.0,100.0
1935.5,2025-12-02T08:15:30+00:00,released,2,2,1,0,1,100.0,50.0
1968.5,2025-12-02T08:48:30+00:00,allocated,2,1,2,1,0,50.0,100.0
1985.5,2025-12-02T09:05:30+00:00,released,2,2,1,0,1,100.0,50.0
1985.5,2025-12-02T09:05:30+00:00,allocated,2,1,2,1,0,50.0,100.0
2011.5,2025-12-02T09:31:30+00:00,released,2,2,1,0,1,100.0,50.0
2011.5,2025-12-02T09:31:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2028.5,2025-12-02T09:48:30+00:00,released,2,2,1,0,1,100.0,50.0
2028.5,2025-12-02T09:48:30+00:00,allocated,2,1,2,1,0,50.0,100.0
2054.5,2025-12-02T10:14:30+00:00,released,2,2,1,0,1,100.0,50.0
2054.5,2025-12-02T10:14:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2110.5,2025-12-02T11:10:30+00:00,released,2,2,1,0,1,100.0,50.0
2110.5,2025-12-02T11:10:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2127.5,2025-12-02T11:27:30+00:00,released,2,2,1,0,1,100.0,50.0
2127.5,2025-12-02T11:27:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2144.5,2025-12-02T11:44:30+00:00,released,2,2,1,0,1,100.0,50.0
2144.5,2025-12-02T11:44:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2170.5,2025-12-02T12:10:30+00:00,released,2,2,1,0,1,100.0,50.0
2170.5,2025-12-02T12:10:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2201.5,2025-12-02T12:41:30+00:00,released,2,2,1,0,1,100.0,50.0
2201.5,2025-12-02T12:41:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2227.5,2025-12-02T13:07:30+00:00,released,2,2,1,0,1,100.0,50.0
2227.5,2025-12-02T13:07:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2244.5,2025-12-02T13:24:30+00:00,released,2,2,1,0,1,100.0,50.0
2244.5,2025-12-02T13:24:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2269.0,2025-12-02T13:49:00+00:00,released,2,2,1,0,1,100.0,50.0
2269.0,2025-12-02T13:49:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2290.0,2025-12-02T14:10:00+00:00,released,2,2,1,0,1,100.0,50.0
2290.0,2025-12-02T14:10:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2307.0,2025-12-02T14:27:00+00:00,released,2,2,1,0,1,100.0,50.0
2307.0,2025-12-02T14:27:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2349.5,2025-12-02T15:09:30+00:00,released,2,2,1,0,1,100.0,50.0
2349.5,2025-12-02T15:09:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2366.0,2025-12-02T15:26:00+00:00,released,2,2,1,0,1,100.0,50.0
2366.0,2025-12-02T15:26:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2392.0,2025-12-02T15:52:00+00:00,released,2,2,1,0,1,100.0,50.0
2392.0,2025-12-02T15:52:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2418.0,2025-12-02T16:18:00+00:00,released,2,2,1,0,1,100.0,50.0
2418.0,2025-12-02T16:18:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2441.5,2025-12-02T16:41:30+00:00,released,2,2,1,0,1,100.0,50.0
2441.5,2025-12-02T16:41:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2580.5,2025-12-02T19:00:30+00:00,released,2,2,1,0,1,100.0,50.0
2580.5,2025-12-02T19:00:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2597.5,2025-12-02T19:17:30+00:00,released,2,2,1,0,1,100.0,50.0
2597.5,2025-12-02T19:17:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2605.0,2025-12-02T19:25:00+00:00,released,2,2,1,0,1,100.0,50.0
2605.0,2025-12-02T19:25:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2614.5,2025-12-02T19:34:30+00:00,released,2,2,1,0,1,100.0,50.0
