timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
3988.0,2025-12-03T18:28:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4119.0,2025-12-03T20:39:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4136.0,2025-12-03T20:56:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4179.0,2025-12-03T21:39:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4196.0,2025-12-03T21:56:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4374.0,2025-12-04T00:54:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4400.0,2025-12-04T01:20:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4434.0,2025-12-04T01:54:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4460.0,2025-12-04T02:20:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4574.0,2025-12-04T04:14:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4600.0,2025-12-04T04:40:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4634.0,2025-12-04T05:14:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4660.0,2025-12-04T05:40:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4781.0,2025-12-04T07:41:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4807.0,2025-12-04T08:07:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4841.0,2025-12-04T08:41:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4867.0,2025-12-04T09:07:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5005.0,2025-12-04T11:25:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5031.0,2025-12-04T11:51:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5065.0,2025-12-04T12:25:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5091.0,2025-12-04T12:51:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5220.0,2025-12-04T15:00:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5243.0,2025-12-04T15:23:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5280.0,2025-12-04T16:00:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5303.0,2025-12-04T16:23:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5408.0,2025-12-04T18:08:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5434.0,2025-12-04T18:34:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5468.0,2025-12-04T19:08:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5494.0,2025-12-04T19:34:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5589.0,2025-12-04T21:09:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5615.0,2025-12-04T21:35:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5649.0,2025-12-04T22:09:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5675.0,2025-12-04T22:35:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5792.5,2025-12-05T00:32:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5818.5,2025-12-05T00:58:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5852.5,2025-12-05T01:32:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5878.5,2025-12-05T01:58:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6000.5,2025-12-05T04:00:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6007.5,2025-12-05T04:07:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6060.5,2025-12-05T05:00:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6067.5,2025-12-05T05:07:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6205.5,2025-12-05T07:25:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6231.5,2025-12-05T07:51:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6265.5,2025-12-05T08:25:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6291.5,2025-12-05T08:51:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6370.5,2025-12-05T10:10:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6396.5,2025-12-05T10:36:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6430.5,2025-12-05T11:10:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6456.5,2025-12-05T11:36:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6587.5,2025-12-05T13:47:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6604.0,2025-12-05T14:04:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6647.5,2025-12-05T14:47:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6664.0,2025-12-05T15:04:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6785.0,2025-12-05T17:05:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6811.0,2025-12-05T17:31:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6845.0,2025-12-05T18:05:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6871.0,2025-12-05T18:31:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7006.0,2025-12-05T20:46:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7032.0,2025-12-05T21:12:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7066.0,2025-12-05T21:46:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7092.0,2025-12-05T22:12:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7206.0,2025-12-06T00:06:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7232.0,2025-12-06T00:32:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7266.0,2025-12-06T01:06:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7292.0,2025-12-06T01:32:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7360.5,2025-12-06T02:40:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7386.5,2025-12-06T03:06:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7420.5,2025-12-06T03:40:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7446.5,2025-12-06T04:06:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7560.5,2025-12-06T06:00:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7586.5,2025-12-06T06:26:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7620.5,2025-12-06T07:00:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7646.5,2025-12-06T07:26:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7733.0,2025-12-06T08:53:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7759.0,2025-12-06T09:19:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7793.0,2025-12-06T09:53:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7819.0,2025-12-06T10:19:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7947.0,2025-12-06T12:27:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7973.0,2025-12-06T12:53:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
8007.0,2025-12-06T13:27:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
8033.0,2025-12-06T13:53:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
8161.5,2025-12-06T16:01:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
8170.0,2025-12-06T16:10:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
8221.5,2025-12-06T17:01:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
8230.0,2025-12-06T17:10:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
