timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
1302.0,2025-12-01T21:42:00+00:00,LOCO_01,MOVING,retrofitted,parking16,
1344.5,2025-12-01T22:24:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1349.5,2025-12-01T22:29:30+00:00,LOCO_02,MOVING,collection1,retrofit,
1418.5,2025-12-01T23:38:30+00:00,LOCO_02,MOVING,retrofit,track_19,
1423.5,2025-12-01T23:43:30+00:00,LOCO_02,PARKING,,,
1423.5,2025-12-01T23:43:30+00:00,LOCO_01,MOVING,parking16,track_19,
1425.5,2025-12-01T23:45:30+00:00,LOCO_02,MOVING,track_19,retrofit,
1433.5,2025-12-01T23:53:30+00:00,LOCO_02,MOVING,retrofit,WS_01,
1444.5,2025-12-02T00:04:30+00:00,LOCO_02,MOVING,WS_01,track_19,
1449.5,2025-12-02T00:09:30+00:00,LOCO_02,MOVING,track_19,WS_02,
1456.5,2025-12-02T00:16:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
1461.5,2025-12-02T00:21:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1466.5,2025-12-02T00:26:30+00:00,LOCO_02,MOVING,track_19,collection1,
1485.5,2025-12-02T00:45:30+00:00,LOCO_01,MOVING,track_19,retrofit,
1493.5,2025-12-02T00:53:30+00:00,LOCO_01,MOVING,retrofit,WS_02,
1504.5,2025-12-02T01:04:30+00:00,LOCO_01,MOVING,WS_02,track_19,
1509.5,2025-12-02T01:09:30+00:00,LOCO_01,MOVING,track_19,WS_01,
1516.5,2025-12-02T01:16:30+00:00,LOCO_01,MOVING,WS_01,retrofitted,
1521.5,2025-12-02T01:21:30+00:00,LOCO_01,MOVING,retrofitted,track_19,
1526.5,2025-12-02T01:26:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1526.5,2025-12-02T01:26:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
1526.5,2025-12-02T01:26:30+00:00,LOCO_01,MOVING,track_19,retrofitted,
1529.5,2025-12-02T01:29:30+00:00,LOCO_02,MOVING,collection1,retrofit,
1534.5,2025-12-02T01:34:30+00:00,LOCO_01,MOVING,retrofitted,parking16,
1592.5,2025-12-02T02:32:30+00:00,LOCO_02,MOVING,retrofit,track_19,
1597.5,2025-12-02T02:37:30+00:00,LOCO_02,PARKING,,,
1599.5,2025-12-02T02:39:30+00:00,LOCO_02,MOVING,track_19,retrofit,
