timestamp,datetime,resource_id,resource_type,state,train_id,batch_id,rejection_reason
785.5,2025-12-01T13:05:30+00:00,W10383,wagon,arrived,T10,,
793.0,2025-12-01T13:13:00+00:00,W3926,wagon,queued,,,
793.0,2025-12-01T13:13:00+00:00,W5834,wagon,queued,,,
793.0,2025-12-01T13:13:00+00:00,W9460,wagon,queued,,,
793.0,2025-12-01T13:13:00+00:00,W9445,wagon,queued,,,
795.0,2025-12-01T13:15:00+00:00,LOCO_02,locomotive,moving,,,
803.0,2025-12-01T13:23:00+00:00,LOCO_02,locomotive,moving,,,
803.0,2025-12-01T13:23:00+00:00,W3926,wagon,moving,,,
803.0,2025-12-01T13:23:00+00:00,W5834,wagon,moving,,,
808.0,2025-12-01T13:28:00+00:00,W3926,wagon,in_workshop,,,
808.0,2025-12-01T13:28:00+00:00,W5834,wagon,in_workshop,,,
814.0,2025-12-01T13:34:00+00:00,LOCO_01,locomotive,moving,,,
814.0,2025-12-01T13:34:00+00:00,W3926,wagon,in_workshop,,,
814.0,2025-12-01T13:34:00+00:00,W5834,wagon,in_workshop,,,
814.0,2025-12-01T13:34:00+00:00,LOCO_02,locomotive,moving,,,
819.0,2025-12-01T13:39:00+00:00,LOCO_02,locomotive,moving,,,
821.0,2025-12-01T13:41:00+00:00,LOCO_01,locomotive,moving,,,
829.0,2025-12-01T13:49:00+00:00,LOCO_01,locomotive,moving,,,
829.0,2025-12-01T13:49:00+00:00,W9460,wagon,moving,,,
829.0,2025-12-01T13:49:00+00:00,W9445,wagon,moving,,,
834.0,2025-12-01T13:54:00+00:00,W9460,wagon,in_workshop,,,
834.0,2025-12-01T13:54:00+00:00,W9445,wagon,in_workshop,,,
840.0,2025-12-01T14:00:00+00:00,W9460,wagon,in_workshop,,,
840.0,2025-12-01T14:00:00+00:00,W9445,wagon,in_workshop,,,
840.0,2025-12-01T14:00:00+00:00,LOCO_01,locomotive,moving,,,
866.0,2025-12-01T14:26:00+00:00,W2238,wagon,arrived,T11,,
866.0,2025-12-01T14:26:00+00:00,W0047,wagon,arrived,T11,,
866.0,2025-12-01T14:26:00+00:00,W0049,wagon,arrived,T11,,
874.0,2025-12-01T14:34:00+00:00,W3926,wagon,retrofitted,,,
874.0,2025-12-01T14:34:00+00:00,W5834,wagon,retrofitted,,,
874.5,2025-12-01T14:34:30+00:00,LOCO_01,locomotive,moving,,,
879.0,2025-12-01T14:39:00+00:00,LOCO_02,locomotive,assigned,,,
881.5,2025-12-01T14:41:30+00:00,LOCO_01,locomotive,moving,,,
881.5,2025-12-01T14:41:30+00:00,W3926,wagon,moving,,,
881.5,2025-12-01T14:41:30+00:00,W5834,wagon,moving,,,
886.5,2025-12-01T14:46:30+00:00,LOCO_01,locomotive,moving,,,
891.5,2025-12-01T14:51:30+00:00,LOCO_01,locomotive,assigned,,,
891.5,2025-12-01T14:51:30+00:00,LOCO_01,locomotive,moving,,,
894.75,2025-12-01T14:54:45+00:00,W2535,wagon,arrived,T12,,
894.75,2025-12-01T14:54:45+00:00,W7970,wagon,arrived,T12,,
894.75,2025-12-01T14:54:45+00:00,W4849,wagon,arrived,T12,,
898.5,2025-12-01T14:58:30+00:00,LOCO_01,locomotive,moving,,,
900.0,2025-12-01T15:00:00+00:00,W9460,wagon,retrofitted,,,
900.0,2025-12-01T15:00:00+00:00,W9445,wagon,retrofitted,,,
912.0,2025-12-01T15:12:00+00:00,LOCO_02,locomotive,moving,,,
912.0,2025-12-01T15:12:00+00:00,W10704,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W3675,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W7132,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W8934,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W6253,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W7747,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W10546,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W7222,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W0689,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W11268,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W11509,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W6557,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W10356,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W6006,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W4440,wagon,moving,,,
912.0,2025-12-01T15:12:00+00:00,W10383,wagon,moving,,,
972.0,2025-12-01T16:12:00+00:00,W10704,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W3675,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W7132,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W8934,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W6253,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W7747,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W10546,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W7222,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W0689,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W11268,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W11509,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W6557,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W10356,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W6006,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W4440,wagon,queued,,,
972.0,2025-12-01T16:12:00+00:00,W10383,wagon,queued,,,
1020.0,2025-12-01T17:00:00+00:00,W12394,wagon,parked,,,
1020.0,2025-12-01T17:00:00+00:00,W9278,wagon,parked,,,
1020.0,2025-12-01T17:00:00+00:00,LOCO_01,locomotive,moving,,,
1051.25,2025-12-01T17:31:15+00:00,W2967,wagon,arrived,T13,,
1051.25,2025-12-01T17:31:15+00:00,W9776,wagon,arrived,T13,,
1051.25,2025-12-01T17:31:15+00:00,W12208,wagon,arrived,T13,,
1051.25,2025-12-01T17:31:15+00:00,W11348,wagon,arrived,T13,,
1065.0,2025-12-01T17:45:00+00:00,LOCO_02,locomotive,moving,,,
1072.0,2025-12-01T17:52:00+00:00,LOCO_02,locomotive,moving,,,
