timestamp,datetime,change_type,total_locomotives,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
1961.5,2025-12-02T08:41:30+00:00,allocated,2,2,2,0,0,100.0,100.0
1978.5,2025-12-02T08:58:30+00:00,released,2,2,1,0,1,100.0,50.0
1978.5,2025-12-02T08:58:30+00:00,released,2,1,0,1,2,50.0,0.0
1978.5,2025-12-02T08:58:30+00:00,allocated,2,2,1,0,1,100.0,50.0
1978.5,2025-12-02T08:58:30+00:00,allocated,2,1,2,1,0,50.0,100.0
2004.5,2025-12-02T09:24:30+00:00,released,2,2,1,0,1,100.0,50.0
2004.5,2025-12-02T09:24:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2159.5,2025-12-02T11:59:30+00:00,released,2,2,1,0,1,100.0,50.0
2159.5,2025-12-02T11:59:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2170.0,2025-12-02T12:10:00+00:00,released,2,2,1,0,1,100.0,50.0
2170.0,2025-12-02T12:10:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2176.5,2025-12-02T12:16:30+00:00,released,2,2,1,0,1,100.0,50.0
2176.5,2025-12-02T12:16:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2187.0,2025-12-02T12:27:00+00:00,released,2,2,1,0,1,100.0,50.0
2187.0,2025-12-02T12:27:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2213.0,2025-12-02T12:53:00+00:00,released,2,2,1,0,1,100.0,50.0
2213.0,2025-12-02T12:53:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2239.0,2025-12-02T13:19:00+00:00,released,2,2,1,0,1,100.0,50.0
2239.0,2025-12-02T13:19:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2365.0,2025-12-02T15:25:00+00:00,released,2,2,1,0,1,100.0,50.0
2365.0,2025-12-02T15:25:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2378.0,2025-12-02T15:38:00+00:00,released,2,2,1,0,1,100.0,50.0
2378.0,2025-12-02T15:38:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2382.0,2025-12-02T15:42:00+00:00,released,2,2,1,0,1,100.0,50.0
2382.0,2025-12-02T15:42:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2395.0,2025-12-02T15:55:00+00:00,released,2,2,1,0,1,100.0,50.0
2395.0,2025-12-02T15:55:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2421.0,2025-12-02T16:21:00+00:00,released,2,2,1,0,1,100.0,50.0
2421.0,2025-12-02T16:21:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2447.0,2025-12-02T16:47:00+00:00,released,2,2,1,0,1,100.0,50.0
2447.0,2025-12-02T16:47:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2573.5,2025-12-02T18:53:30+00:00,released,2,2,1,0,1,100.0,50.0
2573.5,2025-12-02T18:53:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2578.0,2025-12-02T18:58:00+00:00,released,2,2,1,0,1,100.0,50.0
2578.0,2025-12-02T18:58:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2590.5,2025-12-02T19:10:30+00:00,released,2,2,1,0,1,100.0,50.0
2590.5,2025-12-02T19:10:30+00:00,allocated,2,2,2,0,0,100.0,100.0
2595.0,2025-12-02T19:15:00+00:00,released,2,2,1,0,1,100.0,50.0
2595.0,2025-12-02T19:15:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2621.0,2025-12-02T19:41:00+00:00,released,2,2,1,0,1,100.0,50.0
2621.0,2025-12-02T19:41:00+00:00,allocated,2,2,2,0,0,100.0,100.0
2647.0,2025-12-02T20:07:00+00:00,released,2,2,1,0,1,100.0,50.0
