locomotive_id,moving_time_min,coupling_time_screw_min,coupling_time_automatic_min,decoupling_time_screw_min,decoupling_time_automatic_min,total_coupling_time_min,total_decoupling_time_min
LOCO_01,13602.5,1070.0,314.0,1602.0,168.0,1384.0,1770.0
LOCO_02,13538.5,900.0,325.0,1350.0,148.0,1225.0,1498.0
