timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
506.0,2025-12-01T08:26:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
566.0,2025-12-01T09:26:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
659.0,2025-12-01T10:59:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
719.0,2025-12-01T11:59:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
840.0,2025-12-01T14:00:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
850.0,2025-12-01T14:10:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
900.0,2025-12-01T15:00:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
910.0,2025-12-01T15:10:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1109.0,2025-12-01T18:29:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1113.5,2025-12-01T18:33:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1169.0,2025-12-01T19:29:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1173.5,2025-12-01T19:33:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1224.5,2025-12-01T20:24:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1250.5,2025-12-01T20:50:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1284.5,2025-12-01T21:24:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1310.5,2025-12-01T21:50:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1361.0,2025-12-01T22:41:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1387.0,2025-12-01T23:07:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1421.0,2025-12-01T23:41:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1447.0,2025-12-02T00:07:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1459.5,2025-12-02T00:19:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1502.5,2025-12-02T01:02:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1519.5,2025-12-02T01:19:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1562.5,2025-12-02T02:02:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1641.5,2025-12-02T03:21:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1667.5,2025-12-02T03:47:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1701.5,2025-12-02T04:21:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1727.5,2025-12-02T04:47:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1740.5,2025-12-02T05:00:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1800.5,2025-12-02T06:00:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
1908.0,2025-12-02T07:48:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
1930.5,2025-12-02T08:10:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
1968.0,2025-12-02T08:48:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
1990.5,2025-12-02T09:10:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2006.5,2025-12-02T09:26:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2049.5,2025-12-02T10:09:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2066.5,2025-12-02T10:26:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2109.5,2025-12-02T11:09:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2165.5,2025-12-02T12:05:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2222.5,2025-12-02T13:02:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2225.5,2025-12-02T13:05:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2282.5,2025-12-02T14:02:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2382.5,2025-12-02T15:42:30+00:00,WS_01,bay_occupied,2,0,1,2,1,0.0,50.0
2408.5,2025-12-02T16:08:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2442.5,2025-12-02T16:42:30+00:00,WS_01,bay_freed,2,1,0,1,2,50.0,0.0
2468.5,2025-12-02T17:08:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2480.0,2025-12-02T17:20:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2540.0,2025-12-02T18:20:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2674.5,2025-12-02T20:34:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2700.5,2025-12-02T21:00:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2734.5,2025-12-02T21:34:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2760.5,2025-12-02T22:00:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
2875.0,2025-12-02T23:55:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
2901.0,2025-12-03T00:21:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
2935.0,2025-12-03T00:55:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
2961.0,2025-12-03T01:21:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
3092.0,2025-12-03T03:32:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
3095.5,2025-12-03T03:35:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
