timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
1246.0,2025-12-01T20:46:00+00:00,LOCO_01,MOVING,parking16,track_19,
1250.5,2025-12-01T20:50:30+00:00,LOCO_02,MOVING,WS_01,track_19,
1255.5,2025-12-01T20:55:30+00:00,LOCO_02,MOVING,track_19,collection1,
1306.0,2025-12-01T21:46:00+00:00,LOCO_01,MOVING,track_19,WS_02,
1313.0,2025-12-01T21:53:00+00:00,LOCO_01,MOVING,WS_02,retrofitted,
1315.5,2025-12-01T21:55:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1318.0,2025-12-01T21:58:00+00:00,LOCO_01,MOVING,retrofitted,track_19,
1323.0,2025-12-01T22:03:00+00:00,LOCO_01,MOVING,track_19,WS_01,
1326.5,2025-12-01T22:06:30+00:00,LOCO_02,MOVING,collection1,retrofit,
1330.0,2025-12-01T22:10:00+00:00,LOCO_01,MOVING,WS_01,retrofitted,
1335.0,2025-12-01T22:15:00+00:00,LOCO_01,MOVING,retrofitted,track_19,
1342.0,2025-12-01T22:22:00+00:00,LOCO_01,MOVING,track_19,retrofit,
1350.0,2025-12-01T22:30:00+00:00,LOCO_01,MOVING,retrofit,WS_02,
1361.0,2025-12-01T22:41:00+00:00,LOCO_01,MOVING,WS_02,track_19,
1368.0,2025-12-01T22:48:00+00:00,LOCO_01,MOVING,track_19,retrofit,
1376.0,2025-12-01T22:56:00+00:00,LOCO_01,MOVING,retrofit,WS_01,
1387.0,2025-12-01T23:07:00+00:00,LOCO_01,MOVING,WS_01,track_19,
1392.0,2025-12-01T23:12:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
1392.0,2025-12-01T23:12:00+00:00,LOCO_01,MOVING,track_19,retrofitted,
1401.0,2025-12-01T23:21:00+00:00,LOCO_01,MOVING,retrofitted,parking16,
1413.5,2025-12-01T23:33:30+00:00,LOCO_02,MOVING,retrofit,track_19,
1418.5,2025-12-01T23:38:30+00:00,LOCO_02,PARKING,,,
1421.5,2025-12-01T23:41:30+00:00,LOCO_02,MOVING,track_19,WS_02,
1428.5,2025-12-01T23:48:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
1433.5,2025-12-01T23:53:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1440.5,2025-12-02T00:00:30+00:00,LOCO_02,MOVING,track_19,retrofit,
1448.5,2025-12-02T00:08:30+00:00,LOCO_02,MOVING,retrofit,WS_02,
1459.5,2025-12-02T00:19:30+00:00,LOCO_02,MOVING,WS_02,track_19,
1464.5,2025-12-02T00:24:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1471.5,2025-12-02T00:31:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
1476.5,2025-12-02T00:36:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1483.5,2025-12-02T00:43:30+00:00,LOCO_02,MOVING,track_19,retrofit,
1491.5,2025-12-02T00:51:30+00:00,LOCO_02,MOVING,retrofit,WS_01,
1502.5,2025-12-02T01:02:30+00:00,LOCO_02,MOVING,WS_01,track_19,
1507.5,2025-12-02T01:07:30+00:00,LOCO_02,MOVING,track_19,collection1,
1526.5,2025-12-02T01:26:30+00:00,LOCO_01,MOVING,parking16,track_19,
1567.5,2025-12-02T02:07:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
1586.5,2025-12-02T02:26:30+00:00,LOCO_02,MOVING,collection1,retrofit,
1586.5,2025-12-02T02:26:30+00:00,LOCO_01,MOVING,track_19,WS_02,
1593.5,2025-12-02T02:33:30+00:00,LOCO_01,MOVING,WS_02,retrofitted,
1598.5,2025-12-02T02:38:30+00:00,LOCO_01,MOVING,retrofitted,track_19,
1603.5,2025-12-02T02:43:30+00:00,LOCO_01,MOVING,track_19,WS_01,
1610.5,2025-12-02T02:50:30+00:00,LOCO_01,MOVING,WS_01,retrofitted,
1615.5,2025-12-02T02:55:30+00:00,LOCO_01,MOVING,retrofitted,track_19,
1622.5,2025-12-02T03:02:30+00:00,LOCO_01,MOVING,track_19,retrofit,
1630.5,2025-12-02T03:10:30+00:00,LOCO_01,MOVING,retrofit,WS_02,
1641.5,2025-12-02T03:21:30+00:00,LOCO_01,MOVING,WS_02,track_19,
1648.5,2025-12-02T03:28:30+00:00,LOCO_01,MOVING,track_19,retrofit,
1656.5,2025-12-02T03:36:30+00:00,LOCO_01,MOVING,retrofit,WS_01,
1667.5,2025-12-02T03:47:30+00:00,LOCO_01,MOVING,WS_01,track_19,
