timestamp,datetime,wagon_id,train_id,event,track_id,status,rejection_reason,rejection_description
11960.5,2025-12-09T07:20:30+00:00,W5760,,MOVING,collection1,MOVING,,
11960.5,2025-12-09T07:20:30+00:00,W4802,,MOVING,collection1,MOVING,,
12020.5,2025-12-09T08:20:30+00:00,W2846,,ON_RETROFIT_TRACK,retrofit,WAITING,,
12020.5,2025-12-09T08:20:30+00:00,W5760,,ON_RETROFIT_TRACK,retrofit,WAITING,,
12020.5,2025-12-09T08:20:30+00:00,W4802,,ON_RETROFIT_TRACK,retrofit,WAITING,,
12028.5,2025-12-09T08:28:30+00:00,W4457,,MOVING,collection2,MOVING,,
12045.5,2025-12-09T08:45:30+00:00,W0167,,RAKE_COUPLING_STARTED,WS_01,COUPLING,,
12045.5,2025-12-09T08:45:30+00:00,W0002,,RAKE_COUPLING_STARTED,WS_01,COUPLING,,
12046.0,2025-12-09T08:46:00+00:00,W0020,T158,REJECTED,REJECTED,REJECTED_NO_RETROFIT_NEEDED,No Retrofit Needed,Wagon doesn't need retrofit
12046.0,2025-12-09T08:46:00+00:00,W0674,T158,REJECTED,REJECTED,REJECTED,NO_COLLECTION_TRACK,No collection track available
12046.0,2025-12-09T08:46:00+00:00,W6936,T158,REJECTED,REJECTED,REJECTED,NO_COLLECTION_TRACK,No collection track available
12046.0,2025-12-09T08:46:00+00:00,W0023,T158,ARRIVED,collection1,ARRIVED,,
12046.0,2025-12-09T08:46:00+00:00,W10397,T158,ARRIVED,collection1,ARRIVED,,
12046.0,2025-12-09T08:46:00+00:00,W5420,T158,ARRIVED,collection2,ARRIVED,,
12047.5,2025-12-09T08:47:30+00:00,W0167,,RAKE_COUPLING_COMPLETED,WS_01,WAITING,,
12047.5,2025-12-09T08:47:30+00:00,W0002,,RAKE_COUPLING_COMPLETED,WS_01,WAITING,,
12047.5,2025-12-09T08:47:30+00:00,W0167,,MOVING,WS_01,MOVING,,
12047.5,2025-12-09T08:47:30+00:00,W0002,,MOVING,WS_01,MOVING,,
12052.5,2025-12-09T08:52:30+00:00,W0167,,ON_RETROFITTED_TRACK,retrofitted,WAITING,,
12052.5,2025-12-09T08:52:30+00:00,W0002,,ON_RETROFITTED_TRACK,retrofitted,WAITING,,
12062.5,2025-12-09T09:02:30+00:00,W10772,,RAKE_COUPLING_STARTED,WS_02,COUPLING,,
12062.5,2025-12-09T09:02:30+00:00,W0948,,RAKE_COUPLING_STARTED,WS_02,COUPLING,,
12064.5,2025-12-09T09:04:30+00:00,W10772,,RAKE_COUPLING_COMPLETED,WS_02,WAITING,,
12064.5,2025-12-09T09:04:30+00:00,W0948,,RAKE_COUPLING_COMPLETED,WS_02,WAITING,,
12064.5,2025-12-09T09:04:30+00:00,W10772,,MOVING,WS_02,MOVING,,
