timestamp,datetime,wagon_id,train_id,rejection_type,detailed_reason,track_id
3190.75,2025-12-03T05:10:45+00:00,W8675,T42,TRACK_FULL,No collection track available,
3190.75,2025-12-03T05:10:45+00:00,W10706,T42,TRACK_FULL,No collection track available,
3190.75,2025-12-03T05:10:45+00:00,W9959,T42,TRACK_FULL,No collection track available,
3237.25,2025-12-03T05:57:15+00:00,W4849,T43,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
3239.25,2025-12-03T05:59:15+00:00,W8705,T44,TRACK_FULL,No collection track available,
3239.25,2025-12-03T05:59:15+00:00,W5127,T44,TRACK_FULL,No collection track available,
3299.0,2025-12-03T06:59:00+00:00,W9274,T46,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
3299.0,2025-12-03T06:59:00+00:00,W9352,T46,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
3299.0,2025-12-03T06:59:00+00:00,W5403,T46,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
3383.0,2025-12-03T08:23:00+00:00,W10924,T47,TRACK_FULL,No collection track available,
3383.0,2025-12-03T08:23:00+00:00,W0678,T47,TRACK_FULL,No collection track available,
3383.0,2025-12-03T08:23:00+00:00,W4655,T47,TRACK_FULL,No collection track available,
3383.0,2025-12-03T08:23:00+00:00,W5705,T47,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W12036,T51,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W2786,T51,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W2877,T51,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W318166502860,T51,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W9981,T51,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W8717,T51,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W5694,T51,TRACK_FULL,No collection track available,
3997.75,2025-12-03T18:37:45+00:00,W2771,T51,TRACK_FULL,No collection track available,
4093.25,2025-12-03T20:13:15+00:00,W2744,T52,TRACK_FULL,No collection track available,
4093.25,2025-12-03T20:13:15+00:00,W2686,T52,TRACK_FULL,No collection track available,
4093.25,2025-12-03T20:13:15+00:00,W8473,T52,TRACK_FULL,No collection track available,
4293.0,2025-12-03T23:33:00+00:00,W5167,T53,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4293.0,2025-12-03T23:33:00+00:00,W5391,T53,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4320.75,2025-12-04T00:00:45+00:00,W4026,T54,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4320.75,2025-12-04T00:00:45+00:00,W2772,T54,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4320.75,2025-12-04T00:00:45+00:00,W3651,T54,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4379.0,2025-12-04T00:59:00+00:00,W6884,T55,TRACK_FULL,No collection track available,
4379.0,2025-12-04T00:59:00+00:00,W5575,T55,TRACK_FULL,No collection track available,
4387.75,2025-12-04T01:07:45+00:00,W11718,T56,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4387.75,2025-12-04T01:07:45+00:00,W6339,T56,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4387.75,2025-12-04T01:07:45+00:00,W3618,T56,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4491.5,2025-12-04T02:51:30+00:00,W11268,T57,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4491.5,2025-12-04T02:51:30+00:00,W0600,T57,TRACK_FULL,No collection track available,
4654.5,2025-12-04T05:34:30+00:00,W8383,T58,TRACK_FULL,No collection track available,
4654.5,2025-12-04T05:34:30+00:00,W8381,T58,TRACK_FULL,No collection track available,
4676.75,2025-12-04T05:56:45+00:00,W0117,T59,TRACK_FULL,No collection track available,
4676.75,2025-12-04T05:56:45+00:00,W0191,T59,TRACK_FULL,No collection track available,
4676.75,2025-12-04T05:56:45+00:00,W11315,T59,TRACK_FULL,No collection track available,
4704.0,2025-12-04T06:24:00+00:00,W4368,T60,TRACK_FULL,No collection track available,
4704.0,2025-12-04T06:24:00+00:00,W6862,T60,TRACK_FULL,No collection track available,
4704.0,2025-12-04T06:24:00+00:00,W1084,T60,TRACK_FULL,No collection track available,
4704.0,2025-12-04T06:24:00+00:00,W11555,T60,TRACK_FULL,No collection track available,
4761.25,2025-12-04T07:21:15+00:00,W11723,T61,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4761.25,2025-12-04T07:21:15+00:00,W2926,T61,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4761.25,2025-12-04T07:21:15+00:00,W4655,T61,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4804.0,2025-12-04T08:04:00+00:00,W4701,T62,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4804.0,2025-12-04T08:04:00+00:00,W4754,T62,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4804.0,2025-12-04T08:04:00+00:00,W4726,T62,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
4824.0,2025-12-04T08:24:00+00:00,W6277,T63,TRACK_FULL,No collection track available,
4824.0,2025-12-04T08:24:00+00:00,W10928,T63,TRACK_FULL,No collection track available,
4854.0,2025-12-04T08:54:00+00:00,W0605,T64,TRACK_FULL,No collection track available,
4854.0,2025-12-04T08:54:00+00:00,W0615,T64,TRACK_FULL,No collection track available,
4999.0,2025-12-04T11:19:00+00:00,W5446,T65,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5011.0,2025-12-04T11:31:00+00:00,W8613,T66,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5011.0,2025-12-04T11:31:00+00:00,W0924,T66,TRACK_FULL,No collection track available,
5011.0,2025-12-04T11:31:00+00:00,W0685,T66,TRACK_FULL,No collection track available,
5011.0,2025-12-04T11:31:00+00:00,W0701,T66,TRACK_FULL,No collection track available,
5014.0,2025-12-04T11:34:00+00:00,W0020,T67,TRACK_FULL,No collection track available,
5014.0,2025-12-04T11:34:00+00:00,W11419,T67,TRACK_FULL,No collection track available,
5039.75,2025-12-04T11:59:45+00:00,W4368,T68,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5059.25,2025-12-04T12:19:15+00:00,W10284,T69,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5107.75,2025-12-04T13:07:45+00:00,W10689,T70,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5107.75,2025-12-04T13:07:45+00:00,W4522,T70,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5107.75,2025-12-04T13:07:45+00:00,W4479,T70,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5107.75,2025-12-04T13:07:45+00:00,W10396,T70,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5111.75,2025-12-04T13:11:45+00:00,W8473,T71,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5111.75,2025-12-04T13:11:45+00:00,W5057,T71,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5111.75,2025-12-04T13:11:45+00:00,W318166502860,T71,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5203.75,2025-12-04T14:43:45+00:00,W10522,T72,TRACK_FULL,No collection track available,
5221.5,2025-12-04T15:01:30+00:00,W12349,T73,TRACK_FULL,No collection track available,
5397.75,2025-12-04T17:57:45+00:00,W11953,T74,TRACK_FULL,No collection track available,
5397.75,2025-12-04T17:57:45+00:00,W9237,T74,TRACK_FULL,No collection track available,
5397.75,2025-12-04T17:57:45+00:00,W2853,T74,TRACK_FULL,No collection track available,
5397.75,2025-12-04T17:57:45+00:00,W2415,T74,TRACK_FULL,No collection track available,
5397.75,2025-12-04T17:57:45+00:00,W10093,T74,TRACK_FULL,No collection track available,
5397.75,2025-12-04T17:57:45+00:00,W11640,T74,TRACK_FULL,No collection track available,
5403.75,2025-12-04T18:03:45+00:00,W8626,T75,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5403.75,2025-12-04T18:03:45+00:00,W0117,T75,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5403.75,2025-12-04T18:03:45+00:00,W0191,T75,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5465.25,2025-12-04T19:05:15+00:00,W12060,T76,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5465.25,2025-12-04T19:05:15+00:00,W2973,T76,TRACK_FULL,No collection track available,
5465.25,2025-12-04T19:05:15+00:00,W0430,T76,TRACK_FULL,No collection track available,
5465.25,2025-12-04T19:05:15+00:00,W5757,T76,TRACK_FULL,No collection track available,
5465.25,2025-12-04T19:05:15+00:00,W7272,T76,TRACK_FULL,No collection track available,
5465.25,2025-12-04T19:05:15+00:00,W9009,T76,TRACK_FULL,No collection track available,
5470.25,2025-12-04T19:10:15+00:00,W11256,T77,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5470.25,2025-12-04T19:10:15+00:00,W11261,T77,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5470.25,2025-12-04T19:10:15+00:00,W11269,T77,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5470.25,2025-12-04T19:10:15+00:00,W11555,T77,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5470.25,2025-12-04T19:10:15+00:00,W11348,T77,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5470.25,2025-12-04T19:10:15+00:00,W9238,T77,TRACK_FULL,No collection track available,
5477.25,2025-12-04T19:17:15+00:00,W4701,T78,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5477.25,2025-12-04T19:17:15+00:00,W4726,T78,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5477.25,2025-12-04T19:17:15+00:00,W4754,T78,NO_RETROFIT_NEEDED,Wagon doesn't need retrofit,
5517.75,2025-12-04T19:57:45+00:00,W2298,T79,TRACK_FULL,No collection track available,
5517.75,2025-12-04T19:57:45+00:00,W2162,T79,TRACK_FULL,No collection track available,
5517.75,2025-12-04T19:57:45+00:00,W2362,T79,TRACK_FULL,No collection track available,
5517.75,2025-12-04T19:57:45+00:00,W2207,T79,TRACK_FULL,No collection track available,
5517.75,2025-12-04T19:57:45+00:00,W2126,T79,TRACK_FULL,No collection track available,
5517.75,2025-12-04T19:57:45+00:00,W2083,T79,TRACK_FULL,No collection track available,
5517.75,2025-12-04T19:57:45+00:00,W7103,T79,TRACK_FULL,No collection track available,
5517.75,2025-12-04T19:57:45+00:00,W4733,T79,TRACK_FULL,No collection track available,
5557.0,2025-12-04T20:37:00+00:00,W11915,T80,TRACK_FULL,No collection track available,
5557.0,2025-12-04T20:37:00+00:00,W2405,T80,TRACK_FULL,No collection track available,
5557.0,2025-12-04T20:37:00+00:00,W10113,T80,TRACK_FULL,No collection track available,
5557.0,2025-12-04T20:37:00+00:00,W5172,T80,TRACK_FULL,No collection track available,
5566.25,2025-12-04T20:46:15+00:00,W5592,T81,TRACK_FULL,No collection track available,
