timestamp,datetime,workshop_id,change_type,total_bays,busy_before,busy_after,available_before,available_after,utilization_before_percent,utilization_after_percent
4506.0,2025-12-04T03:06:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4522.0,2025-12-04T03:22:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4566.0,2025-12-04T04:06:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4700.5,2025-12-04T06:20:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4760.5,2025-12-04T07:20:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4774.0,2025-12-04T07:34:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
4834.0,2025-12-04T08:34:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
4891.5,2025-12-04T09:31:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
4951.5,2025-12-04T10:31:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
4976.5,2025-12-04T10:56:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5036.5,2025-12-04T11:56:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5048.5,2025-12-04T12:08:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5108.5,2025-12-04T13:08:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5255.0,2025-12-04T15:35:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5313.5,2025-12-04T16:33:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5315.0,2025-12-04T16:35:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5373.5,2025-12-04T17:33:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5551.0,2025-12-04T20:31:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5577.0,2025-12-04T20:57:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5611.0,2025-12-04T21:31:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5637.0,2025-12-04T21:57:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5830.5,2025-12-05T01:10:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
5890.5,2025-12-05T02:10:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
5899.0,2025-12-05T02:19:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
5959.0,2025-12-05T03:19:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
5995.5,2025-12-05T03:55:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6055.5,2025-12-05T04:55:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6089.0,2025-12-05T05:29:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6149.0,2025-12-05T06:29:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6295.5,2025-12-05T08:55:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6321.5,2025-12-05T09:21:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6355.5,2025-12-05T09:55:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6381.5,2025-12-05T10:21:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6536.5,2025-12-05T12:56:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6596.5,2025-12-05T13:56:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6693.5,2025-12-05T15:33:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6750.5,2025-12-05T16:30:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6753.5,2025-12-05T16:33:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6810.5,2025-12-05T17:30:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
6909.5,2025-12-05T19:09:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
6935.5,2025-12-05T19:35:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
6969.5,2025-12-05T20:09:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
6995.5,2025-12-05T20:35:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7100.5,2025-12-05T22:20:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7126.5,2025-12-05T22:46:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7160.5,2025-12-05T23:20:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7186.5,2025-12-05T23:46:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7389.0,2025-12-06T03:09:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7422.5,2025-12-06T03:42:30+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7449.0,2025-12-06T04:09:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7482.5,2025-12-06T04:42:30+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7620.0,2025-12-06T07:00:00+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7646.0,2025-12-06T07:26:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
7680.0,2025-12-06T08:00:00+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7706.0,2025-12-06T08:26:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
7873.5,2025-12-06T11:13:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
7933.5,2025-12-06T12:13:30+00:00,WS_01,bay_freed,2,2,0,0,2,100.0,0.0
7942.0,2025-12-06T12:22:00+00:00,WS_02,bay_occupied,2,0,2,2,0,0.0,100.0
8002.0,2025-12-06T13:22:00+00:00,WS_02,bay_freed,2,2,0,0,2,100.0,0.0
8030.5,2025-12-06T13:50:30+00:00,WS_01,bay_occupied,2,0,2,2,0,0.0,100.0
