timestamp,datetime,locomotive_id,event_type,location,from_location,to_location,purpose,coupler_type,wagon_count,duration_min
828.0,2025-12-01T13:48:00+00:00,LOCO_01,SHUNTING_PREP,retrofit,,,,,0,1.0
829.0,2025-12-01T13:49:00+00:00,LOCO_01,MOVING,WS_02,retrofit,WS_02,,,0,5.0
834.0,2025-12-01T13:54:00+00:00,LOCO_01,DECOUPLING_STARTED,WS_02,,,,SCREW,0,3.0
837.0,2025-12-01T13:57:00+00:00,LOCO_01,DECOUPLING_COMPLETED,WS_02,,,,SCREW,0,3.0
840.0,2025-12-01T14:00:00+00:00,LOCO_01,MOVING,track_19,WS_02,track_19,,,0,9.0
849.0,2025-12-01T14:09:00+00:00,LOCO_01,MOVING,collection1,track_19,collection1,,,0,60.0
909.0,2025-12-01T15:09:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
909.0,2025-12-01T15:09:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,collection1,,,,SCREW,16,30.0
939.0,2025-12-01T15:39:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,collection1,,,,SCREW,16,30.0
939.0,2025-12-01T15:39:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,collection1,,,,SCREW,16,2.0
941.0,2025-12-01T15:41:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,collection1,,,,SCREW,16,2.0
941.0,2025-12-01T15:41:00+00:00,LOCO_01,SHUNTING_PREP,collection1,,,,,16,1.0
942.0,2025-12-01T15:42:00+00:00,LOCO_01,MOVING,retrofit,collection1,retrofit,,,0,60.0
1002.0,2025-12-01T16:42:00+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,retrofit,,,,SCREW,16,3.0
1005.0,2025-12-01T16:45:00+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,retrofit,,,,SCREW,16,3.0
1005.0,2025-12-01T16:45:00+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,retrofit,,,,SCREW,16,45.0
1050.0,2025-12-01T17:30:00+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,retrofit,,,,SCREW,16,45.0
1095.0,2025-12-01T18:15:00+00:00,LOCO_01,MOVING,track_19,retrofit,track_19,,,0,5.0
1100.0,2025-12-01T18:20:00+00:00,LOCO_01,PARKING,,,,,,0,0.0
