locomotive_id,moving_time_min,coupling_time_screw_min,coupling_time_automatic_min,decoupling_time_screw_min,decoupling_time_automatic_min,total_coupling_time_min,total_decoupling_time_min
LOCO_01,13705.5,624.0,228.0,930.0,124.0,852.0,1054.0
LOCO_02,13538.5,756.0,202.0,1128.0,90.0,958.0,1218.0
